gene	essentiality	ncbi_id
A1BG	CSEGs	1
AADACL3	CSEGs	126767
AAMP	CEGs	14
ABCA10	CSEGs	10349
ABCA9	CSEGs	10350
ABCB1	CSEGs	5243
ABCB6	CSEGs	10058
ABCB7	CEGs	22
ABCC10	CSEGs	89845
ABCC11	CSEGs	85320
ABCC4	CSEGs	10257
ABCD3	CSEGs	5825
ABCE1	CEGs	6059
ABCG4	CSEGs	64137
ABHD17A CSEGs	81926
ABHD17B	CSEGs	51104
ABL1	CSEGs	25
ABLIM1	CSEGs	3983
ABRACL	CSEGs	58527
ACACB	CSEGs	32
ACADSB	CSEGs	36
ACADVL	CSEGs	37
ACBD7	CSEGs	414149
ACCSL	CSEGs	390110
ACKR2	CSEGs	1238
ACKR3	CSEGs	57007
ACOT12	CSEGs	134526
ACOX3	CSEGs	8310
ACP6	CSEGs	51205
ACRBP	CSEGs	84519
ACSL1	CSEGs	2180
ACTC1	CSEGs	70
ACTN4	CSEGs	81
ACTR10	CEGs	55860
ACTR3C	CSEGs	653857
ADAL	CSEGs	161823
ADAM10	CSEGs	102
ADAM2	CSEGs	2515
ADAM20	CSEGs	8748
ADAM30	CSEGs	11085
ADAM7	CSEGs	8756
ADAMTS1	CSEGs	9510
ADAMTS3	CSEGs	9508
ADAMTS4	CSEGs	9507
ADAT1	CSEGs	23536
ADI1	CSEGs	55256
ADIPOQ	CSEGs	9370
ADIPOR1	CSEGs	51094
ADIRF	CSEGs	10974
ADPRH	CSEGs	141
ADRA1A	CSEGs	148
ADRB1	CSEGs	153
ADRB2	CSEGs	154
ADRB3	CSEGs	155
AFF3	CSEGs	3899
AFP	CSEGs	174
AGA	CSEGs	175
AGBL5	CSEGs	60509
AGPS	CSEGs	8540
AGR2	CSEGs	10551
AGRN	CSEGs	375790
AGTR1	CSEGs	185
AGTRAP	CSEGs	57085
AIMP1	CSEGs	9255
AJUBA	CSEGs	84962
AKAP12	CSEGs	9590
AKAP9	CSEGs	10142
AKIP1	CSEGs	56672
AKIRIN2	CEGs	55122
AKR1C1	CSEGs	1645
ALDH1A3	CSEGs	220
ALDH4A1	CSEGs	8659
ALDH7A1	CSEGs	501
ALG11	CEGs	440138
ALG1L	CEGs	200810
ALG3	CSEGs	10195
ALKBH5	CSEGs	54890
ALOX5	CSEGs	240
ALPL	CSEGs	249
AMBP	CSEGs	259
AMBRA1	CSEGs	55626
AMDHD2	CSEGs	51005
AMN	CSEGs	81693
ANAPC1	CEGs	64682
ANAPC10	CEGs	10393
ANAPC2	CEGs	29882
ANAPC4	CEGs	29945
ANAPC5	CEGs	51433
ANK3	CSEGs	288
ANKIB1	CSEGs	54467
ANKLE2	CEGs	23141
ANKMY1	CSEGs	51281
ANKRD13C	CSEGs	81573
ANKRD20A8P	CSEGs	729171
ANKRD30A	CSEGs	91074
ANKRD33	CSEGs	341405
ANKRD40	CSEGs	91369
ANKRD45	CSEGs	339416
ANKRD6	CSEGs	22881
ANKRD66	CSEGs	100287718
ANP32AP1	CSEGs	723972
ANXA2R	CSEGs	389289
AOC2	CSEGs	314
AOX1	CSEGs	316
AP1M1	CSEGs	8907
AP3M2	CSEGs	10947
AP4S1	CSEGs	11154
APBB1IP	CSEGs	54518
APOC3	CSEGs	345
APOL5	CSEGs	80831
APPL1	CSEGs	26060
APTX	CSEGs	54840
AQP12B	CSEGs	653437
AQP2	CSEGs	359
AQR	CEGs	9716
ARC	CSEGs	23237
ARCN1	CEGs	372
ARHGAP21	CSEGs	57584
ARHGAP26	CSEGs	23092
ARHGDIB	CSEGs	397
ARHGEF19	CSEGs	128272
ARHGEF3	CSEGs	50650
ARID5A	CSEGs	10865
ARL13A	CSEGs	392509
ARL14EPL	CSEGs	644100
ARL2	CEGs	402
ARL5A	CSEGs	26225
ARL6	CSEGs	84100
ARL6IP4	CSEGs	51329
ARMC1	CSEGs	55156
ARMC6	CSEGs	93436
ARPC1A	CSEGs	10552
ARPP21	CSEGs	10777
ARSE	CSEGs	415
ARX	CSEGs	170302
AS3MT	CSEGs	57412
ASCC1	CSEGs	51008
ASCL1	CSEGs	429
ASIC2	CSEGs	40
ASIP	CSEGs	434
ASTE1	CSEGs	28990
ATAD3B	CSEGs	83858
ATF2	CSEGs	1386
ATF6B	CSEGs	1388
ATG2B	CSEGs	55102
ATOH7	CSEGs	220202
ATOX1	CSEGs	475
ATP11C	CSEGs	286410
ATP6AP1L	CSEGs	92270
ATP6V0A2	CSEGs	23545
ATP6V0C	CEGs	527
ATP6V0D1	CEGs	9114
ATP6V0E2	CSEGs	155066
ATP6V1B1	CSEGs	525
ATP6V1B2	CEGs	526
ATP6V1C2	CSEGs	245973
ATP7A	CSEGs	538
ATP7B	CSEGs	540
ATP9A	CSEGs	10079
ATP9B	CSEGs	374868
ATR	CEGs	545
ATRAID	CSEGs	51374
ATRIP	CEGs	84126
ATRN	CSEGs	8455
ATXN1L	CSEGs	342371
ATXN7L3	CSEGs	56970
AURKAIP1	CSEGs	54998
AURKB	CEGs	9212
AVPR1A	CSEGs	552
AZI2	CSEGs	64343
B3GALT4	CSEGs	8705
B3GAT3	CSEGs	26229
B3GNT5	CSEGs	84002
B4GALNT3	CSEGs	283358
B4GALNT4	CSEGs	338707
B4GALT2	CSEGs	8704
B4GALT7	CSEGs	11285
BAAT	CSEGs	570
BAD	CSEGs	572
BANF2	CSEGs	140836
BANK1	CSEGs	55024
BASP1	CSEGs	10409
BBS4	CSEGs	585
BBS5	CSEGs	129880
BBS7	CSEGs	55212
BCAS1	CSEGs	8537
BCAS2	CEGs	10286
BCAS3	CSEGs	54828
BCL11B	CSEGs	64919
BCL2L13	CSEGs	23786
BCL2L15	CSEGs	440603
BCL3	CSEGs	602
BCL6	CSEGs	604
BDKRB1	CSEGs	623
BEST1	CSEGs	7439
BEX4	CSEGs	56271
BFAR	CSEGs	51283
BGLAP	CSEGs	632
BHLHA15	CSEGs	168620
BHMT2	CSEGs	23743
BIRC5	CEGs	332
BIVM	CSEGs	54841
BLCAP	CSEGs	10904
BMP8A	CSEGs	353500
BMS1	CEGs	9790
BNC2	CSEGs	54796
BNIP1	CEGs	662
BOD1L1	CSEGs	259282
BPGM	CSEGs	669
BPI	CSEGs	671
BPY2	CSEGs	9083
BPY2B	CSEGs	442867
BPY2C	CSEGs	442868
BRCA2	CSEGs	675
BRD9	CSEGs	65980
BRF1	CEGs	2972
BRF2	CEGs	55290
BRPF3	CSEGs	27154
BRS3	CSEGs	680
BRWD1	CSEGs	54014
BSN	CSEGs	8927
BSX	CSEGs	390259
BTBD9	CSEGs	114781
BTC	CSEGs	685
BTF3P11	CSEGs	690
BTLA	CSEGs	151888
BUB3	CEGs	9184
BYSL	CEGs	705
C11orf24	CSEGs	53838
C11orf40	CSEGs	143501
C11orf45	CSEGs	219833
C11orf74	CSEGs	119710
C14orf39	CSEGs	317761
C17orf75	CSEGs	64149
C18orf25	CSEGs	147339
C1D	CSEGs	10438
C1QA	CSEGs	712
C1QL2	CSEGs	165257
C1R	CSEGs	715
C1orf122	CSEGs	127687
C1orf158	CSEGs	93190
C2	CSEGs	717
C2orf15	CSEGs	150590
C2orf49	CSEGs	79074
C3orf52	CSEGs	79669
C4A	CSEGs	720
C4BPB	CSEGs	725
C5orf15	CSEGs	56951
C6orf118	CSEGs	168090
C7orf57	CSEGs	136288
C8orf31	CSEGs	286122
C8orf37	CSEGs	157657
C8orf44	CSEGs	56260
C9orf131	CSEGs	138724
C9orf135	CSEGs	138255
C9orf139	CSEGs	401563
C9orf152	CSEGs	401546
C9orf40	CSEGs	55071
CA11	CSEGs	770
CACFD1	CSEGs	11094
CACNA2D3	CSEGs	55799
CACNG6	CSEGs	59285
CACTIN	CEGs	58509
CADM1	CSEGs	23705
CADM2	CSEGs	253559
CALML4	CSEGs	91860
CAMK1D	CSEGs	57118
CAMK2G	CSEGs	818
CANT1	CSEGs	124583
CAPN13	CSEGs	92291
CAPN15	CSEGs	6650
CAPN9	CSEGs	10753
CAPRIN1	CSEGs	4076
CAPS2	CSEGs	84698
CAPZA1	CSEGs	829
CARD11	CSEGs	84433
CARD8	CSEGs	22900
CASP5	CSEGs	838
CASP7	CSEGs	840
CAT	CSEGs	847
CATSPERB	CSEGs	79820
CATSPERD	CSEGs	257062
CBR4	CSEGs	84869
CBWD1	CEGs	55871
CCDC117	CSEGs	150275
CCDC121	CSEGs	79635
CCDC137	CSEGs	339230
CCDC144A	CSEGs	9720
CCDC172	CSEGs	374355
CCDC173	CSEGs	129881
CCDC178	CSEGs	374864
CCDC28B	CSEGs	79140
CCDC42	CSEGs	146849
CCDC47	CSEGs	57003
CCDC63	CSEGs	160762
CCDC9	CSEGs	26093
CCDC93	CSEGs	54520
CCHCR1	CSEGs	54535
CCKAR	CSEGs	886
CCL16	CSEGs	6360
CCL26	CSEGs	10344
CCL4	CSEGs	6351
CCND1	CEGs	595
CCNI	CSEGs	10983
CCNJ	CSEGs	54619
CCNK	CEGs	8812
CCNT1	CSEGs	904
CCNT2	CSEGs	905
CCP110	CSEGs	9738
CCR1	CSEGs	1230
CCR5	CSEGs	1234
CCR8	CSEGs	1237
CCSER1	CSEGs	401145
CCT3	CEGs	7203
CCT5	CEGs	22948
CCT6A	CEGs	908
CCT6B	CSEGs	10693
CCT7	CEGs	10574
CCT8	CEGs	10694
CD276	CSEGs	80381
CD2AP	CSEGs	23607
CD300A	CSEGs	11314
CD300C	CSEGs	10871
CD300LG	CSEGs	146894
CD37	CSEGs	951
CD47	CSEGs	961
CD48	CSEGs	962
CD52	CSEGs	1043
CD55	CSEGs	1604
CD79A	CSEGs	973
CDC123	CEGs	8872
CDC16	CEGs	8881
CDC20	CEGs	991
CDC23	CEGs	8697
CDC27	CEGs	996
CDC34	CSEGs	997
CDC37	CEGs	11140
CDC37L1	CSEGs	55664
CDC45	CEGs	8318
CDC5L	CEGs	988
CDC6	CEGs	990
CDC7	CEGs	8317
CDC73	CEGs	79577
CDH1	CSEGs	999
CDH12	CSEGs	1010
CDH4	CSEGs	1002
CDHR3	CSEGs	222256
CDK1	CEGs	983
CDK9	CEGs	1025
CDKL4	CSEGs	344387
CDKN1C	CSEGs	1028
CDRT1	CSEGs	374286
CDRT15	CSEGs	146822
CDT1	CEGs	81620
CDX1	CSEGs	1044
CDYL2	CSEGs	124359
CEACAM4	CSEGs	1089
CEACAM6	CSEGs	4680
CEACAM8	CSEGs	1088
CELA1	CSEGs	1990
CELA3A	CSEGs	10136
CENPA	CEGs	1058
CENPM	CEGs	79019
CENPN	CEGs	55839
CENPW	CEGs	387103
CEP170	CSEGs	9859
CEP290	CSEGs	80184
CEP63	CSEGs	80254
CEP85	CSEGs	64793
CERK	CSEGs	64781
CERS3	CSEGs	204219
CERS6	CSEGs	253782
CETN2	CSEGs	1069
CETN3	CSEGs	1070
CFD	CSEGs	1675
CFDP1	CSEGs	10428
CFHR2	CSEGs	3080
CFHR5	CSEGs	81494
CFL2	CSEGs	1073
CH25H	CSEGs	9023
CHAF1A	CEGs	10036
CHAF1B	CEGs	8208
CHCHD1	CSEGs	118487
CHCHD4	CEGs	131474
CHEK1	CEGs	1111
CHFR	CSEGs	55743
CHGA	CSEGs	1113
CHI3L1	CSEGs	1116
