HUMAN00209	WIGBR00007	1:1	1111608
HUMAN00247	WIGBR00419	n:1	
HUMAN01129	WIGBR00419	n:1	
HUMAN01936	WIGBR00316	n:1	
HUMAN02380	WIGBR00218	n:1	1065532
HUMAN02417	WIGBR00331	n:1	
HUMAN02463	WIGBR00124	n:1	
HUMAN02821	WIGBR00580	n:1	
HUMAN03294	WIGBR00073	n:m	
HUMAN03294	WIGBR00452	n:m	
HUMAN03689	WIGBR00583	1:1	
HUMAN03974	WIGBR00157	1:1	
HUMAN04103	WIGBR00610	1:1	
HUMAN05120	WIGBR00214	1:1	1155869
HUMAN05588	WIGBR00182	n:1	
HUMAN07388	WIGBR00518	1:1	1188021
HUMAN07514	WIGBR00603	1:1	1185734
HUMAN08468	WIGBR00263	1:1	1122127
HUMAN09484	WIGBR00429	1:1	876373
HUMAN09781	WIGBR00240	1:1	1170884
HUMAN10651	WIGBR00108	n:1	1183008
HUMAN10804	WIGBR00274	1:1	1135947
HUMAN11312	WIGBR00221	n:1	
HUMAN11982	WIGBR00338	1:1	
HUMAN12601	WIGBR00539	n:1	1100847
HUMAN12672	WIGBR00118	n:1	
HUMAN13560	WIGBR00008	1:1	995537
HUMAN13656	WIGBR00501	n:1	
HUMAN15166	WIGBR00182	n:1	
HUMAN15247	WIGBR00187	n:1	
HUMAN15832	WIGBR00119	1:1	860369
HUMAN16083	WIGBR00219	n:m	
HUMAN16083	WIGBR00220	n:m	681242
HUMAN16083	WIGBR00254	n:m	
HUMAN17004	WIGBR00417	n:1	1038926
HUMAN17876	WIGBR00371	1:1	
HUMAN19027	WIGBR00248	1:1	680915
HUMAN20239	WIGBR00431	1:m	
HUMAN20239	WIGBR00474	1:m	
HUMAN21278	WIGBR00527	n:1	
HUMAN21567	WIGBR00179	n:1	
HUMAN23959	WIGBR00136	n:1	1172938
HUMAN25546	WIGBR00067	n:1	902622
HUMAN25741	WIGBR00067	n:1	
HUMAN26309	WIGBR00298	n:1	680916
HUMAN26597	WIGBR00374	1:1	
HUMAN27521	WIGBR00515	1:1	680918
HUMAN27605	WIGBR00324	1:1	1187185
HUMAN28103	WIGBR00298	n:1	
HUMAN28141	WIGBR00153	1:1	1161034
HUMAN28739	WIGBR00124	n:1	1084949
HUMAN29430	WIGBR00234	n:1	1079968
HUMAN29466	WIGBR00221	n:1	
HUMAN29472	WIGBR00221	n:1	
HUMAN29475	WIGBR00221	n:1	
HUMAN29641	WIGBR00131	1:1	1027517
HUMAN29809	WIGBR00441	1:1	1122126
HUMAN31029	WIGBR00353	n:1	
HUMAN31446	WIGBR00221	n:1	
HUMAN31658	WIGBR00137	1:1	1166500
HUMAN32191	WIGBR00501	n:1	
HUMAN34331	WIGBR00193	1:1	
