n1.name,n1.identifier,n2.name,n2.identifier,r.statistic_score
Met,17295,Mtor,56717,0.25
Atr,245000,Trp53,22059,1.0
Atr,245000,H2ax,15270,1.0
Atr,245000,Hus1,15574,0.75
Atr,245000,Pik3r1,18708,1.0
Atr,245000,H2ac23,665433,0.25
Atr,245000,Myc,17869,0.25
Atr,245000,Mrc1,17533,0.25
Atr,245000,Chek2,50883,0.43
Atr,245000,Chek1,12649,0.57
Atr,245000,Parp1,11545,0.68
Brca1,12189,Brca2,12190,0.99
Brca1,12189,Cct4,12464,0.25
Brca1,12189,Top1,21969,0.25
Brca1,12189,Egfr,13649,0.43
Brca1,12189,Rad51,19361,0.57
Brca1,12189,Xrcc6,14375,0.43
Atm,11920,Chek2,50883,0.43
Atm,11920,Myc,17869,0.43
Atm,11920,H2ac23,665433,0.25
Atm,11920,Mrc1,17533,0.25
Atm,11920,Pik3r1,18708,0.5
Atm,11920,Chek1,12649,0.68
Atm,11920,Trp53,22059,1.0
Atm,11920,Hus1,15574,0.5
Atm,11920,Mre11a,17535,0.57
Atm,11920,Atr,245000,0.96
Atm,11920,Prkdc,19090,1.0
Atm,11920,Parp1,11545,1.0
Chek2,50883,Myc,17869,0.25
Chek2,50883,Parp1,11545,0.43
Chek2,50883,Nprl2,56032,0.25
Chek2,50883,Pik3r1,18708,0.25
Casp8,12370,Xiap,11798,0.25
Casp8,12370,Cflar,12633,0.81
Casp8,12370,Kras,16653,0.25
Casp8,12370,Myc,17869,0.25
Casp8,12370,Diablo,66593,0.25
Btg2,12227,Trp53,22059,0.25
Btg2,12227,Cdk4,12567,0.25
Btg2,12227,Myc,17869,0.25
Bag1,12017,Myc,17869,0.75
Chek1,12649,Trp53,22059,0.95
Chek1,12649,Chek2,50883,0.68
Chek1,12649,Myc,17869,0.43
Chek1,12649,Nprl2,56032,0.25
Chek1,12649,Parp1,11545,0.57
Chek1,12649,Pik3r1,18708,0.25
Mmp28,118453,Parp1,11545,0.25
Hras,15461,Trp53,22059,0.25
Hras,15461,Kit,16590,0.25
Hras,15461,Myc,17869,0.25
Cdc45,12544,Tap2,21355,0.25
Cdc45,12544,Gins4,109145,0.25
Cdc45,12544,Gins3,78833,0.25
Cdc45,12544,Tap1,21354,0.25
Mre11a,17535,Prkdc,19090,0.8
Vangl2,93840,Dvl2,13543,0.8
Rita1,100764,Trp53,22059,1.0
Myd88,17874,Per1,18626,0.25
Myd88,17874,Trp53,22059,1.0
Bcl2l1,12048,Kras,16653,0.9
Bcl2l1,12048,Mdk,17242,1.0
Vav1,22324,Vav3,57257,0.25
Myc,17869,Pik3r1,18708,0.25
Myc,17869,Parp1,11545,0.25
Myc,17869,Xiap,11798,0.25
Myc,17869,Uba2,50995,0.5
Myc,17869,Trp53,22059,0.75
Myc,17869,Wrn,22427,0.25
Timm8a1,30058,Trp53,22059,1.0
Parp1,11545,Trp53,22059,1.0
Parp1,11545,Ros1,19886,0.25
Parp1,11545,Rad51,19361,1.0
Parp1,11545,Xrcc6,14375,0.25
Parp1,11545,Trp53bp1,27223,0.43
Parp1,11545,Brca1,12189,0.8
Parp1,11545,Ppp2ca,19052,0.25
Parp1,11545,Pik3r1,18708,0.57
Akt3,23797,Egfr,13649,0.25
Il6,16193,Myc,17869,0.25
Pten,19211,Trp53,22059,0.25
Nfkb1,18033,Parp1,11545,0.25
Nfkb1,18033,Nfkbia,18035,0.25
Mmp14,17387,Mmp2,17390,0.5
Gins1,69270,Gins3,78833,0.25
Gins1,69270,Tap2,21355,0.25
Gins1,69270,Gins4,109145,0.75
Abcg2,26357,Top1,21969,0.25
Abcg2,26357,Brca1,12189,0.25
Cux1,13047,Parp1,11545,1.0
Cux1,13047,Pik3r1,18708,0.25
Gpx6,75512,Htt,15194,0.5
Dvl2,13543,Dvl3,13544,0.8
Mapk8,26419,Vav1,22324,0.25
Mapk8,26419,Vav3,57257,0.25
Nf2,18016,Yap1,22601,0.25
Dicer1,192119,Trp53,22059,1.0
Cenpc1,12617,Trp53,22059,0.25
Cenpc1,12617,Myc,17869,0.25
Fancd2,211651,Dclre1a,55947,0.8
Egfr,13649,Parp1,11545,0.95
Egfr,13649,Mtor,56717,0.25
Egfr,13649,Hgf,15234,0.25
Egfr,13649,Myc,17869,0.25
Egfr,13649,Mcl1,17210,0.25
Egfr,13649,Ephb2,13844,0.43
Egfr,13649,Erbb2,13866,0.25
Egfr,13649,Met,17295,0.25
Egfr,13649,Notch1,18128,0.25
Egfr,13649,Hras,15461,0.25
Egfr,13649,Pik3r1,18708,0.25
Egfr,13649,Ppp2ca,19052,0.25
Egfr,13649,Kit,16590,0.25
Egfr,13649,Trp53,22059,0.43
Eif4e,13684,Fgf2,14173,0.75
Eif4e,13684,Myc,17869,0.25
Erbb2,13866,Pik3r1,18708,0.25
Plk1,18817,Plk4,20873,0.25
Plk1,18817,Trp53,22059,0.25
H2ac20,319176,Mrc1,17533,0.25
Jun,16476,Vav3,57257,0.25
Jun,16476,Mapk8,26419,0.25
Jun,16476,Vav1,22324,0.25
Jun,16476,Maf,17132,0.5
