HUMAN00008	MOUSE11686	1:1	1129380
HUMAN00023	MOUSE11598	1:1	681224
HUMAN00028	MOUSE11544	1:1	1135087
HUMAN00034	MOUSE11504	1:1	1176239
HUMAN00036	MOUSE11473	1:m	
HUMAN00036	MOUSE11503	1:m	
HUMAN00037	MOUSE11468	1:1	1017653
HUMAN00040	MOUSE11442	1:1	1142860
HUMAN00046	MOUSE11427	1:1	849277
HUMAN00050	MOUSE11407	1:1	1138972
HUMAN00061	MOUSE11329	1:1	1002376
HUMAN00087	MOUSE11316	1:1	682772
HUMAN00092	MOUSE11306	1:1	1076355
HUMAN00099	MOUSE11263	n:m	
HUMAN00099	MOUSE11274	n:m	
HUMAN00113	MOUSE11263	n:m	
HUMAN00113	MOUSE11274	n:m	
HUMAN00115	MOUSE11203	1:1	1129995
HUMAN00116	MOUSE11202	1:1	650374
HUMAN00118	MOUSE11200	1:1	689777
HUMAN00121	MOUSE11188	1:m	697113
HUMAN00121	MOUSE11190	1:m	
HUMAN00122	MOUSE11186	1:1	695055
HUMAN00123	MOUSE11185	1:1	685670
HUMAN00127	MOUSE11182	1:1	1005931
HUMAN00131	MOUSE11162	1:1	1178926
HUMAN00139	MOUSE32369	1:1	683663
HUMAN00143	MOUSE32346	1:1	1122109
HUMAN00150	MOUSE32329	1:1	1079253
HUMAN00163	MOUSE32263	1:1	1136869
HUMAN00167	MOUSE32260	1:1	1145663
HUMAN00185	MOUSE32239	1:1	1065533
HUMAN00194	MOUSE32144	1:1	687194
HUMAN00195	MOUSE32097	1:1	1046690
HUMAN00200	MOUSE32074	1:1	326632
HUMAN00204	MOUSE32066	1:1	973079
HUMAN00207	MOUSE32056	1:1	671199
HUMAN00209	MOUSE32050	1:1	1111608
HUMAN00211	MOUSE32028	1:1	686895
HUMAN00214	MOUSE32018	1:1	1103916
HUMAN00223	MOUSE31995	1:1	681928
HUMAN00233	MOUSE31861	1:1	949421
HUMAN00237	MOUSE31846	1:1	1180199
HUMAN00240	MOUSE31836	1:1	1149872
HUMAN00244	MOUSE31831	1:1	1152719
HUMAN00247	MOUSE31829	1:1	1186625
HUMAN00254	MOUSE31820	1:1	1185341
HUMAN00263	MOUSE31808	1:1	1079572
HUMAN00271	MOUSE31804	1:1	1183611
HUMAN00275	MOUSE31791	1:1	681668
HUMAN00278	MOUSE31786	1:1	1137067
HUMAN00280	MOUSE31783	1:1	
HUMAN00292	MOUSE31775	1:1	1176029
HUMAN00294	MOUSE31748	1:1	1122481
HUMAN00297	MOUSE31732	1:1	839588
HUMAN00301	MOUSE31726	1:1	1124960
HUMAN00306	MOUSE31718	1:1	
HUMAN00311	MOUSE31701	1:1	1181175
HUMAN00316	MOUSE31659	1:1	326338
HUMAN00333	MOUSE31492	1:1	1174560
HUMAN00355	MOUSE31476	1:1	1164594
HUMAN00357	MOUSE31469	1:1	333023
HUMAN00359	MOUSE31457	1:1	
HUMAN00364	MOUSE31431	1:1	875780
HUMAN00382	MOUSE31193	1:1	399547
HUMAN00388	MOUSE31165	1:1	1124135
HUMAN00390	MOUSE31142	1:1	1005136
HUMAN00391	MOUSE31135	1:1	
HUMAN00397	MOUSE31128	1:1	1122440
HUMAN00399	MOUSE31077	1:1	1141204
HUMAN00401	MOUSE32376	1:1	1157193
HUMAN00403	MOUSE32404	1:1	965587
HUMAN00406	MOUSE32414	1:1	1143386
HUMAN00410	MOUSE32416	1:1	693695
HUMAN00412	MOUSE32426	1:1	684028
HUMAN00415	MOUSE32455	1:1	685637
HUMAN00417	MOUSE32456	1:1	1127829
HUMAN00425	MOUSE32470	1:1	692269
HUMAN00431	MOUSE32472	1:1	648823
HUMAN00434	MOUSE32484	1:1	1151890
HUMAN00438	MOUSE32487	1:1	681648
HUMAN00441	MOUSE32491	1:1	1045685
HUMAN00442	MOUSE32492	1:1	690006
HUMAN00446	MOUSE32494	1:1	685781
HUMAN00447	MOUSE32513	1:1	1014139
HUMAN00470	MOUSE32568	1:1	681809
HUMAN00473	MOUSE32596	1:1	1047026
HUMAN00474	MOUSE32605	1:1	641027
HUMAN00479	MOUSE32628	1:1	
HUMAN00482	MOUSE32651	1:1	879970
HUMAN00486	MOUSE32665	1:1	1085921
HUMAN00489	MOUSE32675	1:1	1108522
HUMAN00506	MOUSE32681	1:1	687400
HUMAN00509	MOUSE32687	1:1	931436
HUMAN00516	MOUSE32729	n:1	890127
HUMAN00519	MOUSE32729	n:1	
HUMAN00525	MOUSE17737	1:1	681544
HUMAN00529	MOUSE32759	1:1	850016
HUMAN00535	MOUSE32776	1:1	682786
HUMAN00538	MOUSE32785	1:1	1151733
HUMAN00540	MOUSE32787	1:1	1135704
HUMAN00547	MOUSE32793	1:1	1053024
HUMAN00552	MOUSE32795	1:1	1096300
HUMAN00559	MOUSE32906	1:1	692870
HUMAN00568	MOUSE32998	1:1	1032896
HUMAN00581	MOUSE33005	1:1	1157573
HUMAN00586	MOUSE33019	1:1	1186952
HUMAN00589	MOUSE33031	1:1	1044333
